state,population,population raw,birth raw,Birth_Rate_per_1000
Johor,4020,4020000,49990,12.43532338
Kedah,2151.7,2151700,33040,15.35530046
Kelantan,1812.3,1812300,34764,19.18225459
Melaka,1004.5,1004500,13192,13.13290194
Negeri Sembilan,1204.2,1204200,16777,13.93207108
Pahang,1601.5,1601500,24507,15.30252888
Perak,2515.8,2515800,30816,12.24898641
Perlis,287.6,287600,4076,14.17246175
Pulau Pinang,1740,1740000,18571,10.67298851
Sabah,3412.6,3412600,41608,12.19246322
Sarawak,2465.6,2465600,31274,12.68413368
Selangor,7014.7,7014700,90118,12.84702126
Terengganu,1170.7,1170700,26337,22.49679679
Kuala Lumpur,1964,1964000,21046,10.71588595
Labuan,96,96000,1522,15.85416667
Putrajaya,115.2,115200,2106,18.28125
